id,quote,image,tag,likes,author
0,"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",https://images.gr-assets.com/quotes/1511992603p2/8630.jpg,best,150114,Marilyn Monroe
1,Be yourself; everyone else is already taken.,https://images.gr-assets.com/authors/1521044377p2/3565.jpg,be-yourself,148408,Oscar Wilde
2,Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,https://images.gr-assets.com/authors/1429114964p2/9810.jpg,human-nature,131478,Albert Einstein
3,"So many books, so little time.",https://images.gr-assets.com/authors/1315160559p2/22302.jpg,humor,127404,Frank Zappa
4,"Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",https://images.gr-assets.com/authors/1331977133p2/5768330.jpg,be-yourself,120700,Bernard M. Baruch
5,A room without books is like a body without a soul.,https://images.gr-assets.com/authors/1197881416p2/13755.jpg,books,120112,Marcus Tullius Cicero
6,"You've gotta dance like there's nobody watching,",https://images.gr-assets.com/authors/1282396130p2/1744830.jpg,heaven,118540,William W. Purkey
7,You know you're in love when you can't fall asleep because reality is finally better than your dreams.,https://images.gr-assets.com/authors/1193930952p2/61105.jpg,dreams,115165,Dr. Seuss
8,"You only live once, but if you do it right, once is enough.",https://images.gr-assets.com/authors/1198551937p2/259666.jpg,life,107880,Mae West
9,Be the change that you wish to see in the world.,https://images.gr-assets.com/authors/1356810912p2/5810891.jpg,change,106355,Mahatma Gandhi
10,In three words I can sum up everything I've learned about life: it goes on.,https://images.gr-assets.com/authors/1183232004p2/7715.jpg,life,100466,Robert Frost
11,Dont walk in front of me I may not follow,https://images.gr-assets.com/authors/1506091612p2/957894.jpg,friends,85774,Albert Camus
12,No one can make you feel inferior without your consent.,https://images.gr-assets.com/authors/1536173756p2/44566.jpg,inspirational,85493,Eleanor Roosevelt
13,Friendship ... is born at the moment when one man says to another What! You too? I thought that no one but myself . . .,https://images.gr-assets.com/quotes/1387503187p2/10554.jpg,friendship,84266,C.S. Lewis
14,"If you tell the truth, you don't have to remember anything.",https://images.gr-assets.com/authors/1322103868p2/1244.jpg,lying,84010,Mark Twain
15,A friend is someone who knows all about you and still loves you.,https://images.gr-assets.com/authors/1216826209p2/114059.jpg,friendship,78563,Elbert Hubbard
16,Always forgive your enemies; nothing annoys them so much.,https://images.gr-assets.com/authors/1521044377p2/3565.jpg,enemies,75523,Oscar Wilde
17,"To live is the rarest thing in the world. Most people exist, that is all.",https://images.gr-assets.com/authors/1521044377p2/3565.jpg,life,73902,Oscar Wilde
18,Live as if you were to die tomorrow. Learn as if you were to live forever.,https://images.gr-assets.com/authors/1356810912p2/5810891.jpg,education,72831,Mahatma Gandhi
19,Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,https://images.gr-assets.com/authors/1198518558p2/23924.jpg,drive-out,72370,Martin Luther King Jr.
20,I am so clever that sometimes I don't understand a single word of what I am saying.,https://images.gr-assets.com/authors/1521044377p2/3565.jpg,self-deprecation,67525,Oscar Wilde
21,"Without music, life would be a mistake.",https://images.gr-assets.com/authors/1455294131p2/1938.jpg,music,67014,Friedrich Nietzsche
22,We accept the love we think we deserve.,https://images.gr-assets.com/quotes/1387506524p2/2534.jpg,love,65658,Stephen Chbosky
23,To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,https://images.gr-assets.com/authors/1393555704p2/12080.jpg,attributed-no-source,65183,Ralph Waldo Emerson
24,"Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.",,apple,64931,Rob Siltanen
25,"Insanity is doing the same thing, over and over again, but expecting different results.",,insanity,61238,Narcotics Anonymous
26,"I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.",https://images.gr-assets.com/quotes/1512016299p2/12379.jpg,misattributed-marilyn-monroe,59679,Marilyn Monroe
27,Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,https://images.gr-assets.com/authors/1288560924p2/33394.jpg,disappointed,56836,H. Jackson Brown Jr.
28,It is better to be hated for what you are than to be loved for what you are not.,https://images.gr-assets.com/authors/1424119198p2/7617.jpg,love,55526,Andre Gide
